id,kode,nama,uraian,enabled
193,121,"Gubernur tambahkan kode wilayah, ","Meliputi: Pencalonan, Pengangkatan, Meninggal, Pelantikan, Pemberhentian, Serah Terima Jabatan dan sebagainya.",1
194,122,"Wakil Gubernur tambahkan kode wilayah, ","Meliputi: Pencalonan, Pengangkatan, Meninggal, Pelantikan, Pemberhentian, Serah Terima Jabatan  dan sebagainya.",1
195,123,"Sekretaris Wilayah tambahkan kode wilayah, ","Meliputi: Pencalonan, Pengangkatan, Meninggal, Pelantikan, Pemberhentian, Serah Terima Jabatan dan sebagainya.",1
196,124,"Pembentukan/Pemekaran Wilayah",-,1
197,124.1,"Pembinaan/Perubahan Nama kepada: Daerah, Kota,Benda, Geografis, Gunung, Sungai, Pulau, Selat, Batas laut, dan sebagainya",-,1
198,124.2,"Pemekaran  Wilayah",-,1
199,124.3,"Forum Koordinasi lainnya",-,1
200,125,"Pembentukan Pemekaran Wilayah",-,1
201,125.1,"Pembinaan/Perubahan Nama Kepada: Daerah, Kota, Benda, Geografis, Gunung, Sungai, Pulau, Selat, Batas Laut, dan sebagainya.",-,1
202,125.2,"Pembentukan Wialayah",-,1
203,125.3,"Pemindahan Ibukota",-,1
204,125.4,"Perubahan batas Wilayah",-,1
205,125.5,"Pemekaran Wialayah",-,1
206,126,"Pembagian Wilayah",-,1
207,127,"Penyerahan Urusan",-,1
208,128,"Swaparaja/Penataan Wilayah/Daerah",-,1
209,129,-,-,1
210,130,"PEMERINTAH KABUPATEN / KOTA","Bupati /Walikota, Tambahkan Kode Wilayah, Meliputi: Pencalonan,Pengangkatan, Meninggal, Pelantikan,",1
211,131,"Pemberhentian, Serah Terima Jabatan, dsb","Sambutan / Pengarahan / Amanat Wakil Bupati /Walikota, Tambahkan Kode Wilayah, Meliputi: Pencalonan, Pengangkatan, Meninggal, Pelantikan,",1
212,132,"Pemberhentian, Serah Terima Jabatan, Sekretaris Daerah Kabupaten/Kota, Tambahkan Kode Wilayah, ","Meliputi: Pencalonan, Pengangkatan, Meninggal,",1
213,133,"Pelantikan, Pemberhentian, Serah Terima Jabatan,.",-,1
214,134,"Forum Koordinasi Pemerintah Di Daerah",-,1
215,134.1,Muspida,-,1
216,134.2,"Forum PAN (Panitian Anggaran Nasional)",-,1
217,134.3,"Forum Koordinasi Lainnya",-,1
218,134.4,"Kerjasama antar Kabupaten/Kota",-,1
219,135,"Pembentukan / Pemekaran Wilayah",-,1
220,135.1,"Pemindahan Ibukota",-,1
221,135.2,"Pembentukan Wilayah Pembantu Bupati/Walikota",-,1
222,135.3,"Pemabagian Wilayah Kabupaten/Kota",-,1
223,135.4,"Perubahan Batas Wilayah",-,1
224,135.5,"Pemekaran Wilayah",-,1
225,135.6,"Permasalahan Batas Wilayah",-,1
226,135.7,"Pembentukan Ibukota Kabupaten/Kota Pemberian dan Penggantian Nama Kabupaten/Kota, Daerah,",-,1
227,135.8,Jalan,-,1
228,136,"Pembagian Wilayah",-,1
229,137,"Penyerahan Urusan",-,1
230,138,"Pemerintah Wilayah Kecamatan",-,1
231,138.1,"Sambutan / Pengarahan / Amanat",-,1
232,138.2,"Pembentukan Kecamatan",-,1
233,138.3,"Pemekaran Kecamatan",-,1
234,138.4,"Perluasan/Perubahan Batas Wilayah Kecamatan",-,1
235,138.5,"Pembentukan Perwakilan Kecamatan/Kemantren",-,1
236,138.6,-,-,1
237,138.7,-,-,1
238,139,-,-,1
239,140,"PEMERINTAHAN DESA / KELURAHAN","Pamong Desa, Meliputi: Pencalonan, Pemilihan, Meninggal,",1
240,141,"Pengangkatan, Pemberhenian, dan sebagainya",-,1
241,142,"Penghasilan Pamong Desa",-,1
242,143,"Kekayaan Desa",-,1
243,144,"Dewan Tingkat Desa, Dewan Marga, Rembug Desa",-,1
244,145,"Administrasi Desa",-,1
245,146,Kewilayahan,-,1
246,146.1,"Pembentukan Desa/Kelurahan",-,1
247,146.2,"Pemekaran Desa/Kelurahan",-,1
248,146.3,"Perubahan Batas Wilayah / Perluasan Desa / Kelurahan",-,1
249,146.4,"Perubahan Nama Desa / Kelurahan",-,1
250,146.5,"Kerjasama Antar Desa / Kelurahan",-,1
251,147,"Lembaga-lembaga Tingkat Desa","Jangan Klasifikasikan Disini, Lihat 410 Dengan Perinciannya",1
252,148,"Perangkat Kelurahan",-,1
253,148.1,"Kepala Kelurahan",-,1
254,148.2,"Sekretaris Kelurahan",-,1
255,148.3,"Staf Kelurahan",-,1
256,149.1,"Dewan Kelurahan",-,1
257,149.2,"Rukun Tetangga",-,1
258,149.3,"Rukun Warga",-,1
259,149.4,"Rukun Kampung",-,1
260,150,"LEGISLATIF MPR / DPR / DPD",-,1
261,151,"Keanggotaan MPR",-,1
262,151.1,Pencalonan,-,1
263,151.2,Pemberhentian,-,1
264,151.3,Recall,-,1
265,151.4,Pelanggaran,-,1
266,152,Persidangan,-,1
267,153,Kesejahteraan,-,1
268,153.1,Keuangan,-,1
269,153.2,Penghargaan,-,1
270,154,Hak,-,1
271,155,"Keanggotaan DPR ","Pencalonan Pengangkatan Persidangan Sidang Pleno Dengar Pendapat/Rapat Komisi",1
272,156,Reses,-,1
273,157,Kesejahteraan,-,1
274,157.1,Keuangan,-,1
275,157.2,Penghargaan,-,1
276,158,"Jawaban Pemerintah",-,1
277,159,Hak,-,1
278,160,"DPRD PROVINSI TAMBAHKAN KODE WILAYAH",-,1
279,161,Keanggotaan,-,1
280,161.1,Pencalonan,-,1
281,161.2,Pengangkatan,-,1
282,161.3,Pemberhentian,-,1
283,161.4,Recall,-,1
284,161.5,Meninggal,-,1
285,161.6,Pelanggaran,-,1
286,162,Persidangan,-,1
287,162.1,Reses,-,1
288,163,Kesejahteraan,-,1
289,163.1,Keuangan,-,1
290,163.2,Penghargaan,-,1
291,164,Hak,-,1
292,165,"Sekretaris DPRD Provinsi",-,1
293,166,-,-,1
294,167,-,-,1
295,168,-,-,1
296,169,-,-,1
297,170,"DPRD KABUPATEN TAMBAHKAN KODE WILAYAH",-,1
298,171,Keanggotaan,-,1
299,171.1,Pencalonan,-,1
300,171.2,Pengangkatan,-,1
301,171.3,Pemberhentian,-,1
302,171.4,Recall,-,1
303,171.5,Pelanggaran,-,1
304,172,Persidangan,-,1
305,173,Kesejahteraan,-,1
306,173.1,Keuangan,-,1
307,173.2,Penghargaan,-,1
308,174,Hak,-,1
309,175,"Sekretaris DPRD Kabupaten/Kota",-,1
310,176,-,-,1
311,177,-,-,1
312,178,-,-,1
313,180,HUKUM,-,1
314,180.1,Kontitusi,-,1
315,180.11,"Dasar Hukum",-,1
316,180.12,"Undang-Undang Dasar",-,1
317,180.2,GBHN,-,1
318,180.3,"Amnesti, Abolisi dan Grasi",-,1
319,181,Perdata,-,1
320,181.1,Tanah,-,1
321,181.2,Rumah,-,1
322,181.3,Utang/Piutang,-,1
323,181.31,Gadai,-,1
324,181.32,Hipotik,-,1
325,181.4,Notariat,-,1
326,182,Pidana,-,1
327,182.1,"Penyidik Pegawai Negeri Sipil (PPNS)",-,1
328,183,Peradilan,"Peradilan Agama Islam 451.6, Peradilan Perkara Tanah 593.71",1
329,183.1,"Bantuan Hukum",-,1
330,184,"Hukum Internasional",-,1
331,185,Imigrasi,-,1
332,185.1,Visa,-,1
333,185.2,Pasport,-,1
334,185.3,Exit,-,1
335,185.4,Reentry,-,1
336,185.5,"Lintas Batas/Batas Antar Negara",-,1
337,186,Kepenjaraan,-,1
338,187,Kejaksaan,-,1
339,188,"Peraturan Perundang-Undangan",-,1
340,188.1,"TAP MPR",-,1
341,188.2,"Undang-Undang Dasar",-,1
342,188.3,Peraturan,-,1
343,188.31,"Peraturan Pemerintah",-,1
344,188.32,"Peraturan Menteri",-,1
345,188.33,"Peraturan Lembaga Non Departemen",-,1
346,188.34,"Peraturan Daerah",-,1
347,188.341,"Peraturan Provinsi",-,1
348,188.342,"Peraturan Kabupaten/Kota",-,1
349,188.4,Keputusan,-,1
350,188.41,Presiden,-,1
351,188.42,Menteri,-,1
352,188.43,"Lembaga Non Departemen",-,1
353,188.44,Gubernur,-,1
354,188.45,Bupati/Walikota,-,1
355,188.5,Instruksi,-,1
356,188.51,Presiden,-,1
357,188.52,Menteri,-,1
358,188.53,"Lembaga Non Departemen",-,1
359,188.54,Gubernur,-,1
360,188.55,Bupati/Walikota,-,1
361,189,"Hukum Adat",-,1
362,189.1,"Tokoh Adat/Masyarakat",-,1
363,190,"HUBUNGAN LUAR NEGERI",-,1
364,191,"Perwakilan Asing",-,1
365,192,"Tamu Negara",-,1
366,193,"Kerjasama Dengan Negara Asing",-,1
367,193.1,Asean,-,1
368,193.2,"Bantuan Luar Negeri/Hibah",-,1
369,194,"Perwakilan RI Di Luar Negeri/Hibah",-,1
370,195,PBB,-,1
371,196,"Laporan Luar Negeri",-,1
372,197,"Hutang Luar Negeri PHLN/LOAN",-,1
373,198,-,-,1
374,199,-,-,1
375,200,POLITIK,-,1
376,201,"Kebijaksanaan umum",-,1
377,202,"Orde baru",-,1
378,203,Reformasi,-,1
379,204,-,-,1
380,205,-,-,1
381,206,-,-,1
382,210,KEPARTAIAN,-,1
383,211,"Lambang partai",-,1
384,212,"Kartu tanda anggota",-,1
385,213,"Bantuan keuangan parpol",-,1
386,214,-,-,1
387,215,-,-,1
388,216,-,-,1
389,220,"ORGANISASI KEMASYARAKATAN",-,1
390,221,"Berdasarkan perjuangan",-,1
391,221.1,"Perintis kemerdekaan",-,1
392,221.2,"angkatan 45",-,1
393,221.3,Veteran,-,1
394,222,"Berdasarkan Kekaryaan",-,1
395,222.1,PEPABRI,-,1
396,222.2,Wredatama,-,1
397,223,"Berdasarkan kerohanian",-,1
398,224,"Lembaga adat",-,1
399,225,"Lembaga Swadaya Masyarakat",-,1
400,226,-,-,1
401,230,"ORGANISASI PROFESI DAN FUNGSIONAL",-,1
402,231,"Ikatan Dokter Indonesia",-,1
403,232,"Persatuan Guru Republik Indonesia",-,1
404,233,"PERSATUAN SARJANA HUKUM INDONESIA",-,1
405,234,"Persatuan Advokat Indonesia",-,1
406,235,"Lembaga Bantuan Hukum Indonesia",-,1
407,236,"Korps Pegawai Republik Indonesia",-,1
408,237,"Persatuan Wartawan Indonesia",-,1
409,238,"Ikatan Cendikiawan Muslim Indonesia",-,1
410,239,"Organisasi Profesi Dan Fungsional Lainnya",-,1
411,240,"ORGANISASI PEMUDA",-,1
412,241,"Komite Nasional Pemuda Indonesia",-,1
413,242,"Organisasi Mahasiswa",-,1
414,243,"Organisasi Pelajar",-,1
415,244,"Gerakan Pemuda Ansor",-,1
416,245,"Gerakan Pemuda Islam Indonesia",-,1
417,246,"Gerakan Pemuda Marhaenis",-,1
418,247,-,-,1
419,248,-,-,1
420,250,"ORGANISASI BURUH, TANI, NELAYAN DAN ANGKUTAN",-,1
421,251,"Federasi Buruh Seluruh Indonesia",-,1
422,252,"Organisasi Buruh Internasional",-,1
423,253,"Himpunan Kerukunan Tani",-,1
424,254,"Himpunan Nelayan Seluruh Indonesia",-,1
425,255,"Keluarga Sopir Proporsional Indonesia",-,1
426,256,-,-,1
427,257,-,-,1
428,258,-,-,1
429,260,"ORGANISASI WANITA",-,1
430,261,"Dharma Wanita",-,1
431,262,"Persatuan Wanita Indonesia",-,1
432,263,"Pemberdayaan Perempuan (wanita)",-,1
433,264,"Kongres Wanita",-,1
434,265,-,-,1
435,266,-,-,1
436,267,-,-,1
437,268,-,-,1
438,269,-,-,1
439,270,"PEMILIHAN UMUM",-,1
440,271,Pencalonan,-,1
441,272,"Nomor Urut Partai / Tanda Gambar",-,1
442,273,Kampanye,-,1
443,274,"Petugas Pemilu",-,1
444,275,"Pemilih / Daftar Pemilih",-,1
445,276,Sarana,-,1
446,276.1,TPS,-,1
447,276.2,Kendaraan,-,1
448,276.3,"Surat Suara",-,1
449,276.4,"Kotak Suara",-,1
450,276.5,Dana,-,1
451,277,"Pemungutan Suara / Perhitungan Suara",-,1
452,278,"Penetapan Hasil Pemilu",-,1
453,279,"Penetapan Perolehan Jumlah Kursi Dan Calon Terpilih",-,1
454,280,"Pengucapan Sumpah Janji MPR,DPR,DPD",-,1
455,281,,-,1
456,282,-,-,1
457,283,-,-,1
458,284,-,-,1
459,300,"KEAMANAN / KETERTIBAN",-,1
460,301,Keamanan,-,1
461,302,Ketertiban,-,1
462,303,-,-,1
463,310,PERTAHANAN,-,1
464,311,Darat,-,1
465,312,Laut,-,1
466,313,Udara,-,1
467,314,Perbatasan,-,1
468,315,-,-,1
469,316,-,-,1
470,317,-,-,1
471,320,KEMILITERAN,-,1
472,321,"Latihan Militer",-,1
473,322,"Wajib Militer",-,1
474,323,"Operasi Militer",-,1
475,324,"Kekaryaan TNI Pejabat Sipil dari TNI",-,1
476,324.1,TMD,-,1
477,325,-,-,1
478,326,-,-,1
479,327,-,-,1
480,328,-,-,1
481,330,KEAMANAN,-,1
482,331,Kepolisian,-,1
483,331.1,"Polisi Pamong Praja",-,1
484,331.2,Kamra,-,1
485,331.3,Kamling,-,1
486,331.4,"Jaga Wana",-,1
487,332,"Huru-Hara / Demonstrasi",-,1
488,333,"Senjata Api Tajam",-,1
489,334,"Bahan Peledak",-,1
490,335,Perjudian,-,1
491,336,"Surat-Surat Kaleng",-,1
492,337,Pengaduan,-,1
493,338,"Himbauan / Larangan",-,1
494,339,Teroris,-,1
495,340,"PERTAHANAN SIPIL",-,1
496,341,"Perlindungan Sipil",-,1
497,342,-,-,1
498,343,-,-,1
499,344,-,-,1
500,350,KEJAHATAN,-,1
501,351,"Makar / Pemberontak",-,1
502,352,Pembunuhan,-,1
503,353,"Penganiayaan, Pencurian",-,1
504,354,"Subversi / Penyelundupan / Narkotika",-,1
505,355,Pemalsuan,-,1
506,356,"Korupsi / Penyelewengan / Penyalahgunaan Jabatan / KKN",-,1
507,357,"Pemerkosaan / Perbuatan Cabul",-,1
508,358,Kenakalan,-,1
509,359,"Kejahatan Lainnya",-,1
510,360,BENCANA,-,1
511,361,"Gunung Berapi / Gempa",-,1
512,362,"Banjir / Tanah Longsor",-,1
513,363,"Angin Topan",-,1
514,364,Kebakaran,-,1
515,364.1,"Pemadam Kebakaran",-,1
516,365,Kekeringan,-,1
517,366,Tsunami,-,1
518,367,-,-,1
519,368,-,-,1
520,370,"KECELAKAAN / SAR",-,1
521,371,Darat,-,1
522,372,Udara,-,1
523,373,Laut,-,1
524,374,"Sungai / Danau",-,1
525,375,-,-,1
526,376,-,-,1
527,377,-,-,1
528,380,-,-,1
529,381,-,-,1
530,382,-,-,1
531,383,-,-,1
532,390,-,-,1
533,391,-,-,1
534,392,-,-,1
535,393,-,-,1
536,400,"KESEJAHTERAAN RAKYAT",-,1
537,401,"Keluarga Miskin",-,1
538,402,"PNPM Mandiri Pedesaan",-,1
539,403,-,-,1
540,404,-,-,1
541,410,"PEMBANGUNAN DESA",-,1
542,411,"Pembinaan Usaha Gotong Royong",-,1
543,411.1,"Swadaya Gotong Royong",-,1
544,411.11,"Penataan Gotong Royong",-,1
545,411.12,"Gotong Royong Dinamis",-,1
546,411.13,"Gotong Royong Statis",-,1
547,411.14,Pungutan,-,1
548,411.2,"Lembaga Sosial Desa (LSD)",-,1
549,411.21,Pembinaan,-,1
550,411.22,Klasifikasi,-,1
551,411.23,Proyek,-,1
552,411.24,Musyawarah,-,1
553,411.3,"Latihan Kerja Masyarakat",-,1
554,411.31,"Kader Masyarakat",-,1
555,411.32,"Kuliah Kerja Nyata (KKN)",-,1
556,411.33,"Pusat Latihan",-,1
557,411.34,Kursus-Kursus,-,1
558,411.35,"Kurikulum / Sylabus",-,1
559,411.36,Ketrampilan,-,1
560,411.37,Pramuka,-,1
561,411.4,"Pembinaan Kesejahteraan Keluarga (PKK)",-,1
562,411.41,Program,-,1
563,411.42,"Pembinaan Organisasi",-,1
564,411.43,Kegiatan,-,1
565,411.5,Penyuluhan,-,1
566,411.51,Publikasi,-,1
567,411.52,Peragaan,-,1
568,411.53,"Sosio Drama",-,1
569,411.54,"Siaran Pedesaan",-,1
570,411.55,"Penyuluhan Lapangan",-,1
571,411.6,"Kelembagaan Desa",-,1
572,411.61,"Kelompok Tani",-,1
573,411.62,"Rukun Tani",-,1
574,411.63,Subak,-,1
575,411.64,"Dharma Tirta",-,1
576,412,"Perekonomian Desa",-,1
577,412.1,"Produksi Desa",-,1
578,412.11,Pengolahan,-,1
579,412.12,Pemasaran,-,1
580,412.2,"Keuangan Desa",-,1
581,412.21,"Perkreditan Desa",-,1
582,412.22,"Inventarisasi Data",-,1
583,412.23,"Perkembangan / Pelaksanaan",-,1
584,412.24,"Bantuan / Stimulans",-,1
585,412.25,"Petunjuk / Pembinaan Pelaksanaan",-,1
586,412.3,"Koperasi Desa",-,1
587,412.31,"Badan Usaha Unit Desa (BUUD)",-,1
588,412.32,"Koperasi Usaha Desa",-,1
589,412.4,"Penataan Bantuan Pembangunan Desa",-,1
590,412.41,"Jumlah Desa Yang Diberi Bantuan",-,1
591,412.42,Pengarahan,-,1
592,412.43,Pusat,-,1
593,412.44,Daerah,-,1
594,412.5,"Alokasi Bantuan Pembangunan Desa",-,1
595,412.51,Pusat,-,1
596,412.52,Daerah,-,1
597,412.6,"Pelaksanaan Bantuan Pembangunan Desa",-,1
598,412.61,"Bantuan Langsung",-,1
599,412.62,"Bantuan Keserasian",-,1
600,412.63,"Bantuan Juara Lomba Desa",-,1
601,413,"Prasarana Desa",-,1
602,413.1,"Prasarana Desa",-,1
603,413.11,Pembinaan,-,1
604,413.12,"Bimbingan Teknis",-,1
605,413.2,"Pemukiman Kembali Penduduk",-,1
606,413.21,Lokasi,-,1
607,413.22,Diskusi,-,1
608,413.23,Pelaksanaan,-,1
609,413.3,"Masyarakat Pradesa",-,1
610,413.31,Pembinaan,-,1
611,413.32,Penyuluhan,-,1
612,413.4,"Pemugaran Perumahan Dan Lingkungan Desa",-,1
613,413.41,"Rumah Sehat",-,1
614,413.42,"Proyek Perintis",-,1
615,413.43,Pelaksanaan,-,1
616,413.44,Pengembangan,-,1
617,413.45,"Perbaikan Kampung",-,1
618,414,"Pengembangan Desa",-,1
619,414.1,"Tingkat Perkembangan Desa",-,1
620,414.11,"Jumlah Desa",-,1
621,414.12,"Pemekaran Desa",-,1
622,414.13,"Pembentukan Desa Baru",-,1
623,414.14,Evaluasi,-,1
624,414.15,Bagan,-,1
625,414.2,"Unit Desa Kerja Pembangunan (UDKP)",-,1
626,414.21,"Penyuluhan Program",-,1
627,414.22,"Lokasi UDKP",-,1
628,414.23,Pelaksanaan,-,1
629,414.24,Bimbingan/Pembinaan,-,1
630,414.25,Evaluasi,-,1
631,414.3,"Tata Desa",-,1
632,414.31,Inventarisasi,-,1
633,414.32,"Penyusunan Pola Tata Desa",-,1
634,414.33,"Aplikasi Tata Desa",-,1
635,414.34,Pemetaan,-,1
