Jenis,Obyek,Nama_Obyek,Peraturan
"1.3.3.","1.3.3.17.","Bangunan Gedung Terbuka",
"1.3.3.","1.3.3.18.","Bangunan Gedung Penampung Sekam",
"1.3.3.","1.3.3.19.","Bangunan Gedung Tempat Pelelangan Ikan",
"1.3.3.","1.3.3.20.","Bangunan Industri",
"1.3.3.","1.3.3.21.","Bangunan Peternakan/Perikanan",
"1.3.3.","1.3.3.22.","Bangunan Fasilitas Umum",
"1.3.3.","1.3.3.23.","Bangunan Parkir",
"1.3.3.","1.3.3.24.","Bangunan Taman",
"1.3.3.","1.3.3.25.","Bangunan Gedung Tempat Kerja Lainnya",
"1.3.3.","1.3.3.26.","Bangunan Tempat Tinggal",
"1.3.3.","1.3.3.27.","Candi/Tugu Peringatan/Prasasti Lainnya",
"1.3.4.","1.3.4.01.","Jalan",
"1.3.4.","1.3.4.02.","Jembatan",
"1.3.4.","1.3.4.03.","Bangunan Air Irigasi",
"1.3.4.","1.3.4.04.","Bangunan Pengairan Pasang Surut",
"1.3.4.","1.3.4.05.","Bangunan Pengembangan Rawa",
"1.3.4.","1.3.4.06.","Bangunan Pengaman Sungai dan Pantai",
"1.3.4.","1.3.4.07.","Bangunan Pengembangan Sumber Air dan Air Tanah",
"1.3.4.","1.3.4.08.","Bangunan Air Bersih dan Air Baku",
"1.3.4.","1.3.4.09.","Bangunan Air Kotor",
"1.3.4.","1.3.4.10.","Instalasi Air Bersih/Air Baku",
"1.3.4.","1.3.4.11.","Instalasi Air Kotor",
"1.3.4.","1.3.4.12.","Instalasi Pengolahan Sampah",
"1.3.4.","1.3.4.13.","Instalasi Pengolahan Bahan Bangunan",
"1.3.4.","1.3.4.14.","Instalasi Pembangkit Listrik",
"1.3.4.","1.3.4.15.","Instalasi Gardu Listrik",
"1.3.4.","1.3.4.16.","Instalasi Lainnya",
"1.3.4.","1.3.4.17.","Jaringan Air Minum",
"1.3.4.","1.3.4.18.","Jaringan Listrik",
"1.3.4.","1.3.4.19.","Jaringan Telepon",
"1.3.4.","1.3.4.20.","Jaringan Gas",
"1.3.5.","1.3.5.01.","Bahan Perpustakaan",
"1.3.5.","1.3.5.02.","Barang Bercorak Seni, Kebudayaan dan Olahraga",
"1.3.5.","1.3.5.03.","Hewan dan Ternak",
"1.3.5.","1.3.5.04.","Ikan dan Biota Perairan",
"1.3.5.","1.3.5.05.","Tanaman",
"1.3.5.","1.3.5.06.","Aset Tetap Dalam Renovasi",
"1.3.6.","1.3.6.01.","Konstruksi Dalam Pengerjaan",
"1.3.7.","1.3.7.01.","Aset Tak Berwujud",
"1.3.7.","1.3.7.02.","Aset Tak Berwujud Dalam Pengerjaan",
"1.3.8.","1.3.8.01.","Akumulasi Penyusutan Peralatan dan Mesin",
"1.3.8.","1.3.8.02.","Akumulasi Penyusutan Gedung dan Bangunan",
"1.3.8.","1.3.8.03.","Akumulasi Penyusutan Jalan, Irigasi dan Jaringan",
"1.3.8.","1.3.8.04.","Akumulasi Penyusutan Aset Tetap Lainnya",
"1.4.1.","1.4.1.01.","Dana Cadangan",
"1.5.1.","1.5.1.01.","Tagihan Piutang Penjualan Angsuran Kendaran Bermotor",
"1.5.1.","1.5.1.02.","Tagihan Piutang Penjualan Angsuran Rumah",
"1.5.1.","1.5.1.03.","Tagihan Piutang Angsuran Dana Bergulir",
"1.5.2.","1.5.2.01.","Tagihan Tuntutan Ganti Kerugian Daerah",
"1.5.3.","1.5.3.01.","Bangun Guna Serah (Build, Operate & Transfer - BOT)",
"1.5.3.","1.5.3.02.","Bangun Serah Guna (Build, Transfer & Operate - BTO)",
"1.5.3.","1.5.3.03.","Kerjasama Operasi (KSO)",
"1.5.4.","1.5.4.01.","Aktiva Tidak Berwujud",
"1.5.5.","1.5.5.01.","Aset Rusak Berat",
"1.5.5.","1.5.5.02.","Aset Tetap Renovasi",
"1.5.5.","1.5.5.03.","Aset Lain-lain Lainnya",
"2.1.1.","2.1.1.01.","Hutang Jaminan Pelaksanaan Pekerjaan",
"2.1.1.","2.1.1.02.","Hutang PFK Lainnya",
"2.1.2.","2.1.2.01.","Hutang Bunga kepada Bank",
"2.1.2.","2.1.2.02.","Hutang Bunga kepada Lembaga Bukan Bank",
"2.1.3.","2.1.3.01.","Hutang Pajak Pertambahan Nilai",
"2.1.3.","2.1.3.02.","Hutang Pajak Penghasilan PPh 21",
"2.1.3.","2.1.3.03.","Hutang Pajak Penghasilan PPh 22",
"2.1.3.","2.1.3.04.","Hutang Pajak Penghasilan PPh 23",
"2.1.3.","2.1.3.05.","Hutang Pajak Lainnya",
"2.1.4.","2.1.4.01.","Pajak dan Retribusi Diterima Dimuka",
"2.1.4.","2.1.4.02.","Uang Muka Penjualan Aset Desa",
"2.1.4.","2.1.4.03.","Uang Muka Lelang Penjualan Aset Desa",
"2.1.4.","2.1.4.04.","Uang Muka Bagian Laba BUMDes",
"2.1.5.","2.1.5.01.","Bagian Lancar Hutang Jangka Panjang",
"2.1.6.","2.1.6.01.","Hutang Belanja Pegawai",
"2.1.6.","2.1.6.02.","Hutang Belanja Telepon",
"2.1.6.","2.1.6.03.","Hutang Belanja Air Minum",
"2.1.6.","2.1.6.04.","Hutang Belanja Listrik",
"2.1.6.","2.1.6.05.","Hutang Pengadaan Bahan Habis Pakai",
"2.1.6.","2.1.6.06.","Hutang Pengadaan Barang/Jasa",
"3.1.1.","3.1.1.01.","Ekuitas",
"3.1.2.","3.1.2.01.","Ekuitas SAL",
"4.1.1.","4.1.1.01.","Bagi Hasil BUMDes",
"4.1.1.","4.1.1.99.","Lain-lain Hasil Usaha Desa",
"4.1.2.","4.1.2.01.","Pengelolaan Tanah Kas Desa",
"4.1.2.","4.1.2.02.","Tambatan Perahu",
"4.1.2.","4.1.2.03.","Pasar Desa",
"4.1.2.","4.1.2.04.","Tempat Pemandian Umum",
"4.1.2.","4.1.2.05.","Jaringan Irigasi Desa",
"4.1.2.","4.1.2.06.","Pelelangan Ikan Milik Desa",
"4.1.2.","4.1.2.07.","Hasil Kios Milik Desa",
"4.1.2.","4.1.2.08.","Pemanfaatan Sarana/Prasarana Olahraga",
"4.1.2.","4.1.2.99.","Lain-lain Hasil Aset Desa",
"4.1.3.","4.1.3.01.","Hasil Swadaya, Partisipasi dan Gotong Royong",
"4.1.3.","4.1.3.99.","Lain-lain Swadaya, Partisipasi dan Gotong Royong",
"4.1.4.","4.1.4.01.","Hasil Pungutan Desa",
"4.1.4.","4.1.4.09.","Lain-Lain Pendapatan Asli Desa",
"4.2.1.","4.2.1.01.","Dana Desa",
"4.2.2.","4.2.2.01.","Bagi Hasil Pajak dan Retribusi Daerah Kabupaten/Kota",
"4.2.3.","4.2.3.01.","Alokasi Dana Desa",
"4.2.4.","4.2.4.01.","Bantuan Keuangan dari APBD Provinsi",
"4.2.4.","4.2.4.99.","Lain-lain Bantuan Keuangan APBD Provinsi",
"4.2.5.","4.2.5.01.","Bantuan Keuangan dari APBD Kabupaten/Kota",
"4.2.5.","4.2.5.99.","Lain-lain Bantuan Keuangan dari APBD Kabupaten/Kota",
"4.3.1.","4.3.1.01.","Penerimaan dari Hasil Kerjasama Antar Desa",
"4.3.2.","4.3.2.01.","Penerimaan dari Hasil Kerjasama dengan Pihak Ketiga",
"4.3.3.","4.3.3.01.","Penerimaan Bantuan dari Perusahaan yang Berlokasi di Desa",
"4.3.5.","4.3.5.01.","Pengembalian Belanja Tahun-tahun Sebelumnya",
"4.3.6.","4.3.6.01.","Bunga Bank",
"4.3.7.","4.3.7.99.","Lain-lain Pendapatan Desa Yang Sah",
"5.1.1.","5.1.1.01.","Penghasilan Tetap Kepala Desa",
"5.1.1.","5.1.1.02.","Tunjangan Kepala Desa",
"5.1.1.","5.1.1.99.","Penerimaan Lain-lain Kepala Desa yang Sah",
"5.1.2.","5.1.2.01.","Penghasilan Tetap Perangkat Desa",
"5.1.2.","5.1.2.02.","Tunjangan Perangkat Desa",
"5.1.2.","5.1.2.99.","Penerimaan Lain-lain Perangkat Desa yang Sah",
"5.1.3.","5.1.3.01.","Jaminan Kesehatan Kepala Desa",
"5.1.3.","5.1.3.02.","Jaminan Kesehatan Perangkat Desa",
"5.1.3.","5.1.3.03.","Jaminan Ketenagakerjaan Kepala Desa",
"5.1.3.","5.1.3.04.","Jaminan Ketenagakerjaan Perangkat Desa",
"5.1.4.","5.1.4.01.","Tunjangan Kedudukan BPD/BAMUSDES",
"5.1.4.","5.1.4.02.","Tunjangan Kinerja BPD  /BAMUSDES",
"5.2.1.","5.2.1.01.","Belanja Alat Tulis Kantor dan Benda Pos",
"5.2.1.","5.2.1.02.","Belanja Perlengkapan Alat-alat Listrik",
"5.2.1.","5.2.1.03.","Belanja Perlengkapan Alat Rumah Tangga dan Bahan Kebersihan",
"5.2.1.","5.2.1.04.","Belanja Bahan Bakar Minyak/Gas/Isi Ulang Tabung Pemadam Kebakaran",
"5.2.1.","5.2.1.05.","Belanja Barang Cetak dan Penggandaan",
"5.2.1.","5.2.1.06.","Belanja Barang Konsumsi (Makan/Minum)",
"5.2.1.","5.2.1.07.","Belanja Bahan Material",
"5.2.1.","5.2.1.08.","Belanja Bendera/Umbul-umbul/Spanduk",
"5.2.1.","5.2.1.09.","Belanja Pakaian Dinas/Seragam/Atribut",
"5.2.1.","5.2.1.10.","Belanja Bahan Obat-obatan",
"5.2.1.","5.2.1.11.","Belanja Pakan Hewan, Obat-obatan Hewan",
"5.2.1.","5.2.1.12.","Belanja Pupuk/Obat-obatan Pertanian",
"5.2.1.","5.2.1.99.","Belanja Barang Perlengkapan Lainnya",
"5.2.2.","5.2.2.01.","Belanja Jasa Honorarium Tim Pelaksana Kegiatan",
"5.2.2.","5.2.2.02.","Belanja Jasa Honorarium Pembantu Tugas Umum Desa/Operator",
"5.2.2.","5.2.2.03.","Belanja Jasa Honorarium/Insentif Pelayanan Desa",
"5.2.2.","5.2.2.04.","Belanja Jasa Honorarium Tenaga Ahli/Profesi/Konsultan/Narasumber",
"5.2.2.","5.2.2.05.","Belanja Jasa Honorarium Petugas",
"5.2.2.","5.2.2.99.","Belanja Jasa Honorarium Lainnya",
"5.2.3.","5.2.3.01.","Belanja Perjalanan Dinas Dalam Kabupaten/Kota",
"5.2.3.","5.2.3.02.","Belanja Perjalanan Dinas Luar Kabupaten/Kota",
"5.2.3.","5.2.3.03.","Belanja Kursus Pelatihan",
"5.2.4.","5.2.4.01.","Belanja Jasa Sewa Bangunan/Gedung/Ruang",
"5.2.4.","5.2.4.02.","Belanja Jasa Sewa Peralatan/Perlengkapan",
"5.2.4.","5.2.4.03.","Belanja Jasa Sewa Sarana Mobilitas",
"5.2.4.","5.2.4.99.","Belanja Jasa Sewa Lainnya",
"5.2.5.","5.2.5.01.","Belanja Jasa Langganan Listrik",
"5.2.5.","5.2.5.02.","Belanja Jasa Langganan Air Bersih",
"5.2.5.","5.2.5.03.","Belanja Jasa Langganan Majalah/Surat Kabar",
"5.2.5.","5.2.5.04.","Belanja Jasa Langganan Telepon",
"5.2.5.","5.2.5.05.","Belanja Jasa Langganan Internet",
"5.2.5.","5.2.5.06.","Belanja Jasa Kurir/Pos/Giro",
"5.2.5.","5.2.5.07.","Belanja Jasa Perpanjangan Ijin/Pajak",
"5.2.5.","5.2.5.99.","Belanja Operasional Perkantoran lainnya",
"5.2.6.","5.2.6.01.","Belanja Pemeliharaan Mesin dan Peralatan Berat",
"5.2.6.","5.2.6.02.","Belanja Pemeliharaan Kendaraan Bermotor",
"5.2.6.","5.2.6.03.","Belanja Pemeliharaan Peralatan",
"5.2.6.","5.2.6.04.","Belanja Pemeliharaan Bangunan",
"5.2.6.","5.2.6.05.","Belanja Pemeliharaan Jalan",
"5.2.6.","5.2.6.06.","Belanja Pemeliharaan Jembatan",
"5.2.6.","5.2.6.07.","Belanja Pemeliharaan Irigasi/Saluran Sungai/Embung/Air Bersih",
"5.2.6.","5.2.6.08.","Belanja Pemeliharaan Jaringan dan Instalasi (Listrik, telepon, internet, komunikasi dll)",
"5.2.6.","5.2.6.99.","Belanja Pemeliharaan Lainnya",
"5.2.7.","5.2.7.01.","Belanja Bahan Perlengkapan untuk Diserahkan kepada Masyarakat",
"5.2.7.","5.2.7.02.","Belanja Bantuan Mesin/Peralatan/Kendaraan untuk Diserahkan kepada Masyarakat",
"5.2.7.","5.2.7.03.","Belanja Bantuan Bangunan untuk Diserahkan kepada Masyarakat",
"5.2.7.","5.2.7.04.","Belanja Beasiswa Berprestasi/Masyarakat Miskin",
"5.2.7.","5.2.7.05.","Belanja Bantuan Bibit Tanaman/Hewan/Ikan",
"5.2.7.","5.2.7.99.","Belanja Barang untuk Diserahkan kepada Masyarakat Lainnya",
"5.3.1.","5.3.1.01.","Belanja Modal Pembebasan/Pembelian Tanah",
"5.3.1.","5.3.1.02.","Belanja Modal Pembayaran Horarium Tim Tanah",
"5.3.1.","5.3.1.03.","Belanja Modal Pengukuran dan Sertifikasi Tanah",
"5.3.1.","5.3.1.04.","Belanja Modal Pengurukan dan Pematangan Tanah",
"5.3.1.","5.3.1.05.","Belanja Modal Perjalanan Pengadaan Tanah",
"5.3.1.","5.3.1.99.","Belanja Modal Pengadaan Tanah Lainnya",
"5.3.2.","5.3.2.01.","Belanja Modal Pembayaran Honor Tim Pelaksana Kegiatan (PM)",
"5.3.2.","5.3.2.02.","Belanja Modal Peralatan Elektronik dan Alat Studio",
"5.3.2.","5.3.2.03.","Belanja Modal Peralatan Komputer",
"5.3.2.","5.3.2.04.","Belanja Modal Peralatan Mebelair dan Aksesoris Ruangan",
"5.3.2.","5.3.2.05.","Belanja Modal Peralatan Dapur",
"5.3.2.","5.3.2.06.","Belanja Modal Peralatan Alat Ukur",
"5.3.2.","5.3.2.07.","Belanja Modal Peralatan Rambu-rambu/Patok Tanah",
"5.3.2.","5.3.2.08.","Belanja Modal Peralatan Khusus Kesehatan",
"5.3.2.","5.3.2.09.","Belanja Modal Peralatan Khusus Pertanian/Peternakan/Perikanan",
"5.3.2.","5.3.2.10.","Belanja Modal Mesin",
"5.3.2.","5.3.2.11.","Belanja Modal Pengadaan Alat-alat Berat",
"5.3.2.","5.3.2.99.","Belanja Modal Peralatan, Mesin dan Alat Berat Lainnya",
"5.3.3.","5.3.3.01.","Belanja Modal Honor Tim Pengadaan (Kendaraan)",
"5.3.3.","5.3.3.02.","Belanja Modal Kendaraan Darat Bermotor",
"5.3.3.","5.3.3.03.","Belanja Modal Kendaaran Darat Tidak Bermotor",
"5.3.3.","5.3.3.04.","Belanja Modal Kendaraan Air Bermotor",
"5.3.3.","5.3.3.05.","Belanja Modal Kendaraan Air Tidak Bermotor",
"5.3.3.","5.3.3.99.","Belanja Modal Kendaraan Lainnya",
"5.3.4.","5.3.4.01.","Belanja Modal Gedung, Bangunan, Taman - Honor Pelaksana Kegiatan",
"5.3.4.","5.3.4.02.","Belanja Modal Gedung, Bangunan, Taman - Upah Tenaga Kerja",
"5.3.4.","5.3.4.03.","Belanja Modal Gedung, Bangunan, Taman - Bahan Baku/Material",
"5.3.4.","5.3.4.04.","Belanja Modal Gedung, Bangunan, Taman - Sewa Peralatan",
"5.3.5.","5.3.5.01.","Belanja Modal Jalan - Honor Tim Pelaksana Kegiatan",
"5.3.5.","5.3.5.02.","Belanja Modal Jalan - Upah Tenaga Kerja",
"5.3.5.","5.3.5.03.","Belanja Modal Jalan - Bahan Baku/Material",
"5.3.5.","5.3.5.04.","Belanja Modal Jalan - Sewa Peralan",
"5.3.6.","5.3.6.01.","Belanja Modal Jembatan - Honor Pelaksana Kegiatan",
"5.3.6.","5.3.6.02.","Belanja Modal Jembatan - Upah Tenaga Kerja",
"5.3.6.","5.3.6.03.","Belanja Modal Jembatan - Bahan Baku/Material",
"5.3.6.","5.3.6.04.","Belanja Modal Jembatan - Sewa Peralatan",
"5.3.7.","5.3.7.01.","Belanja Modal Irigasi/Embung/Drainase/dll - Honor Tim Pelaksana Kegiatan",
"5.3.7.","5.3.7.02.","Belanja Modal Irigasi/Embung/Drainase/dll - Upah Tenaga Kerja",
"5.3.7.","5.3.7.03.","Belanja Modal Irigasi/Embung/Drainase/dll - Bahan Baku/Material",
"5.3.7.","5.3.7.04.","Belanja Modal Irigasi/Embung/Drainase/dll - Sewa Peralatan",
"5.3.8.","5.3.8.01.","Belanja Modal Jaringan/Instalasi - Honor Tim Pelaksana Kegiatan",
"5.3.8.","5.3.8.02.","Belanja Modal Jaringan/Instalasi - Upah Tenaga Kerja",
"5.3.8.","5.3.8.03.","Belanja Modal Jaringan/Instalasi - Bahan Baku/Material",
"5.3.8.","5.3.8.04.","Belanja Modal Jaringan/Instalasi - Sewa Peralatan",
"5.3.9.","5.3.9.01.","Belanja Khusus Pendidikan dan Perpustakaan",
"5.3.9.","5.3.9.02.","Belanja Khusus Olahraga",
"5.3.9.","5.3.9.03.","Belanja Modal Khusus Kesenian/Kebudayaan/Keagamaan",
"5.3.9.","5.3.9.04.","Belanja Modal Tumbuhan/Tanaman",
"5.3.9.","5.3.9.05.","Belanja Modal Hewan",
"5.3.9.","5.3.9.99.","Belanja Modal Lainnya",
"5.4.1.","5.4.1.01.","Belanja Tidak Terduga",
"6.1.1.","6.1.1.01.","SILPA Tahun Sebelumnya",
"6.1.2.","6.1.2.01.","Pencairan Dana Cadangan",
"6.1.3.","6.1.3.01.","Hasil Penjualan Kekayaan Desa Yang Dipisahkan",
"6.1.9.","6.1.9.99.","Penerimaan Pembiayaan Lainnya",
"6.2.1.","6.2.1.01.","Pembentukan Dana Cadangan",
"6.2.2.","6.2.2.01.","Penyertaan Modal Desa",
"6.2.9.","6.2.9.01.","Pengeluaran Pembiayaan Lainnya",
"7.1.1.","7.1.1.01.","Potongan Pajak PPN Pusat","411211-100"
"7.1.1.","7.1.1.02.","Potongan Pajak PPh Pasal 21","411121-100"
"7.1.1.","7.1.1.03.","Potongan Pajak PPh Pasal 22","411122-100"
"7.1.1.","7.1.1.04.","Potongan Pajak PPh Pasal 23","411123-100"
"7.1.1.","7.1.1.05.","Potongan Pajak PPh Lainnya",
"7.1.2.","7.1.2.01.","Pajak Restoran, Rumah Makan",
"7.1.2.","7.1.2.02.","Pajak Galian C",
"7.1.3.","7.1.3.01.","Uang Muka dan Jaminan",
"5.2.2.","5.2.2.90.","Belanja Jasa Insentif RT/RW",
"5.2.1.","5.2.1.90.","Belanja Uang Saku Peserta",
"5.2.1.","5.2.1.91.","Belanja Uang Penganti Trasnport Peserta",
"5.2.5.","5.2.5.90.","Belanja Jasa Transaksi Keuangan (Admin Bank, dll)",
